วันที่,เดือน,ปี,ปริมาณน้ำ (ลบ.ม./วินาที)
4,กรกฎาคม,2554,384
8,กรกฎาคม,2554,923
9,กรกฎาคม,2554,862
14,กรกฎาคม,2554,596
15,กรกฎาคม,2554,682
17,กรกฎาคม,2554,682
20,กรกฎาคม,2554,844
22,กรกฎาคม,2554,903
25,กรกฎาคม,2554,1060
29,กรกฎาคม,2554,1246
31,กรกฎาคม,2554,1195
1,สิงหาคม,2554,1176
3,สิงหาคม,2554,1172
6,สิงหาคม,2554,1442
8,สิงหาคม,2554,1220
11,สิงหาคม,2554,1284
13,สิงหาคม,2554,1363
15,สิงหาคม,2554,1431
17,สิงหาคม,2554,1563
20,สิงหาคม,2554,1870
21,สิงหาคม,2554,1878
22,สิงหาคม,2554,1878
24,สิงหาคม,2554,1866
26,สิงหาคม,2554,1818
27,สิงหาคม,2554,1822
30,สิงหาคม,2554,1931
31,สิงหาคม,2554,2136
3,กันยายน,2554,2376
5,กันยายน,2554,2390
6,กันยายน,2554,2438
9,กันยายน,2554,2685
10,กันยายน,2554,2755
12,กันยายน,2554,3013
13,กันยายน,2554,3200
15,กันยายน,2554,3538
17,กันยายน,2554,3694
21,กันยายน,2554,3721
24,กันยายน,2554,3706
29,กันยายน,2554,3646
3,ตุลาคม,2554,3570
7,ตุลาคม,2554,3619
9,ตุลาคม,2554,3637
14,ตุลาคม,2554,3616
16,ตุลาคม,2554,3610
20,ตุลาคม,2554,3578
24,ตุลาคม,2554,3458
27,ตุลาคม,2554,3330
30,ตุลาคม,2554,3254
31,ตุลาคม,2554,3195
2,พฤศจิกายน,2554,3151
5,พฤศจิกายน,2554,3052
9,พฤศจิกายน,2554,2830
11,พฤศจิกายน,2554,2715
14,พฤศจิกายน,2554,2533
15,พฤศจิกายน,2554,2398
18,พฤศจิกายน,2554,2116
19,พฤศจิกายน,2554,2025
20,พฤศจิกายน,2554,1952
23,พฤศจิกายน,2554,1730
27,พฤศจิกายน,2554,1242
29,พฤศจิกายน,2554,1016
3,ธันวาคม,2554,524
6,ธันวาคม,2554,355
7,ธันวาคม,2554,348
12,ธันวาคม,2554,247
16,ธันวาคม,2554,261
22,ธันวาคม,2554,346
26,ธันวาคม,2554,220
31,ธันวาคม,2554,292
27,กรกฎาคม,2567,749
28,กรกฎาคม,2567,779
29,กรกฎาคม,2567,599
30,กรกฎาคม,2567,599
31,กรกฎาคม,2567,599
1,สิงหาคม,2567,670
2,สิงหาคม,2567,670
3,สิงหาคม,2567,670
4,สิงหาคม,2567,700
5,สิงหาคม,2567,749
7,สิงหาคม,2567,800
9,สิงหาคม,2567,949
11,สิงหาคม,2567,999
12,สิงหาคม,2567,999
15,สิงหาคม,2567,800
17,สิงหาคม,2567,700
19,สิงหาคม,2567,450
20,สิงหาคม,2567,400
21,สิงหาคม,2567,400
22,สิงหาคม,2567,400
23,สิงหาคม,2567,450
25,สิงหาคม,2567,649
26,สิงหาคม,2567,700
28,สิงหาคม,2567,1163
29,สิงหาคม,2567,1300
30,สิงหาคม,2567,1300
2,กันยายน,2567,1399
5,กันยายน,2567,1498
9,กันยายน,2567,1498
11,กันยายน,2567,1449
13,กันยายน,2567,1248
14,กันยายน,2567,1200
15,กันยายน,2567,1150
17,กันยายน,2567,1099
19,กันยายน,2567,1049
20,กันยายน,2567,1049
22,กันยายน,2567,1049
23,กันยายน,2567,1049
26,กันยายน,2567,1498
27,กันยายน,2567,1699
28,กันยายน,2567,1848
30,กันยายน,2567,1899
2,ตุลาคม,2567,1899
3,ตุลาคม,2567,1899
6,ตุลาคม,2567,2150
8,ตุลาคม,2567,2199
10,ตุลาคม,2567,2199
12,ตุลาคม,2567,2002
14,ตุลาคม,2567,1751
15,ตุลาคม,2567,1600
17,ตุลาคม,2567,1451
19,ตุลาคม,2567,1352
22,ตุลาคม,2567,1300
25,ตุลาคม,2567,1650
26,ตุลาคม,2567,1699
28,ตุลาคม,2567,1699
1,พฤศจิกายน,2567,1352
2,พฤศจิกายน,2567,1251
3,พฤศจิกายน,2567,1102
7,พฤศจิกายน,2567,951
8,พฤศจิกายน,2567,901
9,พฤศจิกายน,2567,800
11,พฤศจิกายน,2567,751
12,พฤศจิกายน,2567,691
14,พฤศจิกายน,2567,550
15,พฤศจิกายน,2567,550
18,พฤศจิกายน,2567,301
20,พฤศจิกายน,2567,200
22,พฤศจิกายน,2567,120
25,พฤศจิกายน,2567,80
28,พฤศจิกายน,2567,70
29,พฤศจิกายน,2567,70
2,ธันวาคม,2567,70
4,ธันวาคม,2567,70
