
day_month,2554,2565,2567
04-07,384.0,,
08-07,923.0,,
09-07,862.0,,
14-07,596.0,,
15-07,682.0,,
17-07,682.0,,
20-07,844.0,,
22-07,903.0,,
25-07,1060.0,,
27-07,,,749.0
28-07,,,779.0
29-07,1246.0,,599.0
30-07,,,599.0
31-07,1195.0,,599.0
01-08,1176.0,,670.0
02-08,,,670.0
03-08,1172.0,,670.0
04-08,,,700.0
05-08,,,749.0
06-08,1442.0,,
07-08,,,800.0
08-08,1220.0,,
09-08,,,949.0
11-08,1284.0,,999.0
12-08,,,999.0
13-08,1363.0,,
15-08,1431.0,,800.0
17-08,1563.0,,700.0
19-08,,,450.0
20-08,1870.0,,400.0
21-08,1878.0,,400.0
22-08,1878.0,,400.0
23-08,,,450.0
24-08,1866.0,,
25-08,,,649.0
26-08,1818.0,,700.0
27-08,1822.0,,
28-08,,,1163.0
29-08,,,1300.0
30-08,1931.0,,1300.0
31-08,2136.0,,
02-09,,1799.0,1399.0
03-09,2376.0,1769.0,
04-09,,1624.0,
05-09,2390.0,,1498.0
06-09,2438.0,1495.0,
07-09,,1464.0,
09-09,2685.0,,1498.0
10-09,2755.0,1500.0,
11-09,,,1449.0
12-09,3013.0,1698.0,
13-09,3200.0,,1248.0
14-09,,,1200.0
15-09,3538.0,1898.0,1150.0
16-09,,1948.0,
17-09,3694.0,,1099.0
18-09,,1948.0,
19-09,,1989.0,1049.0
20-09,,1989.0,1049.0
21-09,3721.0,,
22-09,,1989.0,1049.0
23-09,,1989.0,1049.0
24-09,3706.0,,
25-09,,1989.0,
26-09,,,1498.0
27-09,,,1699.0
28-09,,2100.0,1848.0
29-09,3646.0,,
30-09,,,1899.0
01-10,,2586.0,
02-10,,,1899.0
03-10,3570.0,2643.0,1899.0
05-10,,2697.0,
06-10,,,2150.0
07-10,3619.0,2877.0,
08-10,,,2199.0
09-10,3637.0,3048.0,
10-10,,,2199.0
11-10,,3164.0,
12-10,,3154.0,2002.0
13-10,,3169.0,
14-10,3616.0,,1751.0
15-10,,,1600.0
16-10,3610.0,3058.0,
17-10,,,1451.0
18-10,,2983.0,
19-10,,2947.0,1352.0
20-10,3578.0,,
22-10,,,1300.0
23-10,,2602.0,
24-10,3458.0,,
25-10,,2439.0,1650.0
26-10,,2293.0,1699.0
27-10,3330.0,,
28-10,,2139.0,1699.0
29-10,,2051.0,
30-10,3254.0,,
31-10,3195.0,,
01-11,,,1352.0
02-11,3151.0,,1251.0
03-11,,1567.0,1102.0
04-11,,1484.0,
05-11,3052.0,,
07-11,,1195.0,951.0
08-11,,1128.0,901.0
09-11,2830.0,,800.0
10-11,,970.0,
11-11,2715.0,,751.0
12-11,,,691.0
13-11,,792.0,
14-11,2533.0,752.0,550.0
15-11,2398.0,,550.0
16-11,,675.0,
18-11,2116.0,,301.0
19-11,2025.0,515.0,
20-11,1952.0,,200.0
22-11,,,120.0
23-11,1730.0,,
24-11,,267.0,
25-11,,316.0,80.0
26-11,,411.0,
27-11,1242.0,,
28-11,,,70.0
29-11,1016.0,,70.0
02-12,,,70.0
03-12,524.0,,
04-12,,,70.0
06-12,355.0,,
07-12,348.0,,
12-12,247.0,,
16-12,261.0,,
22-12,346.0,,
26-12,220.0,,
31-12,292.0,,
